SIT_MATRICULA,PAI_FALECIDO,MAE_FALECIDO,RENDA_FAMILIAR,TIPO_ESCOLA_ORIGEM,ANO_CONCLUSAO_2_GRAU,RENDA_PER_CAPITA,COD_ESTADO_CIVIL,N_FILHOS,SEXO,PROFISSAO,DESC_CIDADE,DESC_ESTADO,DESC_IDIOMA,NIVEL_FALA,NIVEL_COMPREENSAO,NIVEL_ESCRITA,NIVEL_LEITURA,NOTAS,N_FALTAS,COD_DISCIPLINA,CARGA_HOR,ANO_INGRESSO,IDADE_INGRESSO
10,0.0,0.0,0.0,E,2012.0,10.0,S,,F,,Aparecida de Goiânia,Goiás,,,,,,08/10/2016,0.0,648,54,2013,18.0
9,0.0,0.0,0.0,E,2013.0,10.0,S,,M,,Goiânia,Goiás,,,,,,0.00,0.0,648,54,2013,19.0
9,0.0,0.0,0.0,E,2013.0,10.0,S,,M,,Goiânia,Goiás,,,,,,0.00,0.0,648,54,2013,19.0
0,0.0,0.0,0.0,E,2001.0,10.0,S,,M,Técnico em Eletromecânica,Goiânia,Goiás,Espanhol,1.0,3.0,1.0,2.0,6.00,0.0,648,54,2013,30.0
0,0.0,0.0,,P,2007.0,,S,,F,,Goiânia,Goiás,Inglês,1.0,1.0,2.0,2.0,6.50,0.0,648,54,2013,24.0
0,0.0,0.0,,P,2007.0,,S,,F,,Goiânia,Goiás,Alemão,1.0,1.0,1.0,1.0,6.50,0.0,648,54,2013,24.0
9,0.0,0.0,0.0,P,2010.0,10.0,,0.0,M,,Goiânia,Goiás,Espanhol,1.0,1.0,1.0,1.0,7.50,,648,54,2013,20.0
9,0.0,0.0,0.0,P,2010.0,10.0,,0.0,M,,Goiânia,Goiás,Inglês,1.0,1.0,1.0,1.0,7.50,,648,54,2013,20.0
0,0.0,0.0,0.0,E,2006.0,10.0,,0.0,M,Técnico em Eletromecânica,Goiânia,Goiás,,,,,,6.00,0.0,648,54,2013,24.0
0,0.0,0.0,0.0,,2010.0,10.0,,0.0,M,,Goiânia,Goiás,Inglês,2.0,3.0,2.0,3.0,6.00,,648,54,2013,20.0
0,0.0,0.0,,P,2010.0,10.0,S,0.0,M,,Aparecida de Goiânia,Goiás,Inglês,2.0,2.0,2.0,3.0,09/10/2016,,648,54,2013,20.0
11,0.0,0.0,0.0,P,2003.0,10.0,,0.0,M,,Goiânia,Goiás,,,,,,07/10/2016,,648,54,2013,29.0
10,0.0,0.0,,F,1992.0,5.0,,0.0,M,Físico,Goiânia,Goiás,,,,,,7.00,,648,54,2013,51.0
0,0.0,0.0,3.0,E,2012.0,,S,,M,Estudante,Aparecida de Goiânia,Goiás,,,,,,6.00,0.0,648,54,2013,18.0
9,0.0,0.0,,E,2012.0,,S,,F,,Aparecida de Goiânia,Goiás,,,,,,0.00,0.0,648,54,2013,18.0
0,0.0,0.0,,E,2010.0,0.0,S,0.0,M,,Goiânia,Goiás,Inglês,2.0,2.0,2.0,2.0,9.50,,648,54,2013,19.0
0,0.0,0.0,,E,2010.0,0.0,S,0.0,M,,Goiânia,Goiás,Espanhol,1.0,2.0,1.0,2.0,9.50,,648,54,2013,19.0
20,0.0,0.0,0.0,P,2012.0,10.0,S,,F,Agente Administrativo,Goiânia,Goiás,Espanhol,1.0,1.0,1.0,1.0,7.70,0.0,648,54,2013,17.0
9,0.0,0.0,0.0,E,2011.0,10.0,S,,F,,Goiânia,Goiás,,,,,,7.50,0.0,648,54,2013,18.0
0,0.0,0.0,0.0,E,2012.0,10.0,S,,M,,Goiânia,Goiás,,,,,,0.00,64.0,648,54,2013,18.0
0,0.0,0.0,0.0,E,2012.0,10.0,S,,M,,Goiânia,Goiás,,,,,,6.00,0.0,648,54,2013,18.0
10,0.0,0.0,0.0,P,2012.0,10.0,S,,M,,Goiânia,Goiás,,,,,,6.00,0.0,648,54,2013,18.0
10,0.0,0.0,0.0,P,2012.0,10.0,S,0.0,M,Estudante,Goiânia,Goiás,Inglês,2.0,3.0,2.0,2.0,7.00,0.0,648,54,2013,18.0
0,0.0,0.0,,P,2012.0,,S,,F,,Aparecida de Goiânia,Goiás,Inglês,3.0,3.0,3.0,3.0,6.50,0.0,648,54,2013,18.0
0,0.0,0.0,,P,2012.0,,S,,F,,Aparecida de Goiânia,Goiás,Espanhol,1.0,1.0,1.0,2.0,6.50,0.0,648,54,2013,18.0
11,0.0,0.0,0.0,E,2012.0,10.0,S,,M,Estudante,Goiânia,Goiás,Inglês,2.0,2.0,2.0,2.0,6.00,0.0,648,54,2013,18.0
11,0.0,0.0,0.0,E,2012.0,10.0,S,,M,Estudante,Goiânia,Goiás,Espanhol,1.0,1.0,1.0,1.0,6.00,0.0,648,54,2013,18.0
0,0.0,0.0,4.0,E,2008.0,10.0,S,,F,Estudante,Senador Canedo,Goiás,Inglês,1.0,1.0,1.0,1.0,6.20,0.0,648,54,2013,22.0
0,0.0,0.0,0.0,E,2012.0,10.0,S,,M,,Goiânia,Goiás,,,,,,7.20,0.0,648,54,2013,19.0
11,1.0,0.0,4.0,P,2012.0,1.0,S,0.0,F,Estudante,Goiânia,Goiás,,,,,,7.20,0.0,648,54,2013,18.0
4,0.0,0.0,,E,2012.0,10.0,,0.0,M,,Goiânia,Goiás,Inglês,1.0,2.0,1.0,2.0,6.00,0.0,648,54,2014,19.0
0,0.0,0.0,0.0,P,2012.0,10.0,S,,M,,Iporá,Goiás,Inglês,2.0,3.0,1.0,3.0,6.00,2.0,648,54,2013,17.0
9,0.0,0.0,0.0,E,2012.0,10.0,S,,F,,Aparecida de Goiânia,Goiás,Inglês,1.0,2.0,1.0,2.0,9.50,0.0,648,54,2013,18.0
10,0.0,0.0,6.0,P,2004.0,6.0,S,0.0,M,Estudante,Goiânia,Goiás,,,,,,5.00,0.0,648,54,2013,27.0
10,0.0,0.0,6.0,P,2004.0,6.0,S,0.0,M,Estudante,Goiânia,Goiás,,,,,,6.00,0.0,648,54,2013,27.0
14,0.0,0.0,0.0,E,2011.0,10.0,S,0.0,M,,Goiânia,Goiás,Inglês,3.0,3.0,3.0,3.0,6.70,0.0,648,54,2013,19.0
